0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive(AStar),(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
4.78,클러스터 a 도착,(21.30,-0.37,6.63)
4.78,클러스터 a 수거 시작,(21.30,-0.37,6.63)
7.70,장애물 감지됨: buoy(Clone), 위치: (0.46, -0.40, 20.43),(5.80,0.13,22.29)
7.70,장애물 회피 방향 적용: (0.97, 0.03, 0.26),(5.80,0.13,22.29)
9.71,장애물 충돌 횟수: 0,(14.80,-0.32,34.19)
