0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive(AStar),(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
1.00,장애물 감지됨: buoy(Clone),(3.60,-0.48,-16.64)
1.00,장애물 회피 방향 적용: (-0.85, -0.07, -0.52),(3.60,-0.48,-16.64)
1.02,장애물 회피 방향 적용: (-0.86, -0.08, -0.50),(3.56,-0.49,-16.52)
1.04,장애물 회피 방향 적용: (-0.88, -0.08, -0.47),(3.52,-0.50,-16.40)
1.06,장애물 회피 방향 적용: (-0.89, -0.08, -0.45),(3.48,-0.52,-16.28)
1.08,장애물 회피 방향 적용: (-0.90, -0.08, -0.43),(3.45,-0.53,-16.15)
1.10,장애물 회피 방향 적용: (-0.91, -0.08, -0.40),(3.41,-0.54,-16.03)
1.12,장애물 회피 방향 적용: (-0.92, -0.09, -0.38),(3.38,-0.55,-15.91)
1.14,장애물 회피 방향 적용: (-0.93, -0.09, -0.35),(3.34,-0.55,-15.78)
1.16,장애물 회피 방향 적용: (-0.94, -0.08, -0.33),(3.31,-0.56,-15.65)
1.18,장애물 회피 방향 적용: (-0.95, -0.08, -0.30),(3.27,-0.56,-15.53)
1.20,장애물 회피 방향 적용: (-0.96, -0.08, -0.27),(3.24,-0.57,-15.40)
1.22,장애물 회피 방향 적용: (-0.97, -0.08, -0.25),(3.20,-0.57,-15.27)
1.24,장애물 회피 방향 적용: (-0.97, -0.08, -0.22),(3.17,-0.57,-15.14)
1.26,장애물 회피 방향 적용: (-0.98, -0.07, -0.19),(3.13,-0.57,-15.01)
1.28,장애물 회피 방향 적용: (-0.98, -0.07, -0.16),(3.09,-0.57,-14.87)
1.30,장애물 회피 방향 적용: (-0.99, -0.07, -0.14),(3.06,-0.58,-14.74)
1.32,장애물 회피 방향 적용: (-0.99, -0.06, -0.11),(3.02,-0.57,-14.60)
1.34,장애물 회피 방향 적용: (-1.00, -0.06, -0.08),(2.98,-0.57,-14.47)
1.36,장애물 회피 방향 적용: (-1.00, -0.05, -0.05),(2.95,-0.57,-14.33)
1.38,장애물 회피 방향 적용: (-1.00, -0.05, -0.02),(2.91,-0.57,-14.19)
1.40,장애물 회피 방향 적용: (-1.00, -0.05, 0.00),(2.87,-0.56,-14.05)
1.42,장애물 회피 방향 적용: (-1.00, -0.04, 0.00),(2.84,-0.56,-13.91)
1.46,장애물 회피 방향 적용: (-1.00, -0.03, 0.00),(2.87,-0.53,-13.63)
1.50,장애물 회피 방향 적용: (-1.00, -0.03, 0.00),(2.90,-0.51,-13.36)
1.52,장애물 회피 방향 적용: (-1.00, -0.02, 0.00),(2.86,-0.50,-13.22)
1.56,장애물 회피 방향 적용: (-1.00, -0.01, 0.03),(2.89,-0.47,-12.94)
1.58,장애물 회피 방향 적용: (-1.00, -0.01, 0.06),(2.86,-0.46,-12.80)
1.62,장애물 회피 방향 적용: (-0.99, 0.00, 0.11),(2.90,-0.44,-12.52)
1.66,장애물 회피 방향 적용: (-0.99, 0.01, 0.17),(2.94,-0.43,-12.24)
1.70,장애물 회피 방향 적용: (-0.97, 0.01, 0.23),(2.99,-0.42,-11.95)
1.76,장애물 회피 방향 적용: (-0.95, 0.02, 0.31),(3.11,-0.41,-11.53)
1.84,장애물 회피 방향 적용: (-0.91, 0.03, 0.42),(3.32,-0.42,-10.96)
4.62,장애물 감지됨: Small_Rock_002(Clone),(18.05,-0.44,5.99)
4.62,장애물 감지됨: Small_Rock_002_LOD1,(18.05,-0.44,5.99)
4.62,장애물 감지됨: Small_Rock_002_LOD2,(18.05,-0.44,5.99)
4.62,장애물 감지됨: Small_Rock_002_LOD0,(18.05,-0.44,5.99)
4.62,장애물 회피 방향 적용: (-0.90, -0.08, 0.43),(18.05,-0.44,5.99)
4.70,장애물 회피 방향 적용: (-0.86, -0.09, 0.51),(18.25,-0.47,6.37)
4.80,장애물 회피 방향 적용: (-0.80, -0.09, 0.60),(18.56,-0.48,6.84)
5.02,클러스터 a 도착,(19.47,-0.40,7.97)
5.02,클러스터 a 수거 시작,(19.47,-0.40,7.97)
5.38,장애물 감지됨: Small_Rock_002(Clone),(18.87,-0.46,10.05)
5.38,장애물 감지됨: Small_Rock_002_LOD1,(18.87,-0.46,10.05)
5.38,장애물 감지됨: Small_Rock_002_LOD0,(18.87,-0.46,10.05)
5.38,장애물 회피 방향 적용: (-0.17, -0.10, -0.98),(18.87,-0.46,10.05)
5.40,장애물 회피 방향 적용: (-0.18, -0.11, -0.98),(18.80,-0.48,10.07)
5.42,장애물 회피 방향 적용: (-0.20, -0.11, -0.97),(18.72,-0.49,10.09)
5.44,장애물 회피 방향 적용: (-0.21, -0.11, -0.97),(18.65,-0.50,10.11)
5.46,장애물 회피 방향 적용: (-0.23, -0.12, -0.97),(18.57,-0.52,10.13)
5.48,장애물 회피 방향 적용: (-0.25, -0.12, -0.96),(18.48,-0.53,10.15)
5.50,장애물 회피 방향 적용: (-0.26, -0.12, -0.96),(18.40,-0.54,10.17)
5.52,장애물 회피 방향 적용: (-0.28, -0.13, -0.95),(18.31,-0.56,10.19)
5.56,장애물 회피 방향 적용: (-0.32, -0.13, -0.94),(18.16,-0.57,10.33)
5.58,장애물 회피 방향 적용: (-0.33, -0.13, -0.93),(18.07,-0.58,10.35)
5.60,장애물 회피 방향 적용: (-0.35, -0.13, -0.93),(17.97,-0.58,10.38)
5.62,장애물 회피 방향 적용: (-0.37, -0.13, -0.92),(17.87,-0.59,10.40)
5.64,장애물 회피 방향 적용: (-0.39, -0.13, -0.91),(17.77,-0.59,10.43)
5.66,장애물 회피 방향 적용: (-0.39, -0.13, -0.91),(17.67,-0.59,10.46)
5.68,장애물 회피 방향 적용: (-0.39, -0.13, -0.91),(17.56,-0.60,10.48)
5.72,장애물 감지됨: Small_Rock_002_LOD2,(17.38,-0.58,10.63)
5.72,장애물 회피 방향 적용: (-0.36, -0.12, -0.92),(17.38,-0.58,10.63)
5.74,장애물 회피 방향 적용: (-0.37, -0.12, -0.92),(17.28,-0.58,10.65)
5.76,장애물 회피 방향 적용: (-0.37, -0.12, -0.92),(17.16,-0.58,10.67)
5.78,장애물 회피 방향 적용: (-0.38, -0.12, -0.92),(17.05,-0.58,10.70)
5.82,장애물 회피 방향 적용: (-0.40, -0.12, -0.91),(16.86,-0.57,10.83)
5.84,장애물 회피 방향 적용: (-0.42, -0.12, -0.90),(16.74,-0.58,10.86)
5.88,장애물 회피 방향 적용: (-0.47, -0.12, -0.88),(16.53,-0.57,10.99)
5.90,장애물 회피 방향 적용: (-0.49, -0.12, -0.86),(16.40,-0.58,11.02)
5.94,장애물 회피 방향 적용: (-0.54, -0.11, -0.84),(16.19,-0.57,11.16)
5.98,장애물 회피 방향 적용: (-0.57, -0.11, -0.81),(15.97,-0.54,11.31)
6.02,장애물 회피 방향 적용: (-0.58, -0.13, -0.81),(15.74,-0.52,11.46)
6.06,장애물 회피 방향 적용: (-0.62, -0.12, -0.78),(15.52,-0.49,11.61)
6.12,장애물 회피 방향 적용: (-0.68, -0.12, -0.73),(15.21,-0.47,11.86)
17.80,장애물 회피 방향 적용: (-0.88, -0.08, 0.48),(14.62,-0.41,20.30)
17.84,장애물 회피 방향 적용: (-0.85, -0.07, 0.52),(14.76,-0.40,20.48)
