0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,[선택 이유: a] 거리: 40.2, 쓰레기 수: 1500, 주변 클러스터: 0, 장애물 수: 1, 최종 점수: -2956.80,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive,(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
3.34,클러스터 a 도착,(9.47,-0.42,0.15)
3.34,클러스터 a 수거 시작,(9.47,-0.42,0.15)
56.70,클러스터 a 수거 완료,(24.94,0.55,-7.47)
56.70,[선택 이유: c] 거리: 56.3, 쓰레기 수: 1000, 주변 클러스터: 0, 장애물 수: 6, 최종 점수: -1925.65,(24.94,0.55,-7.47)
56.70,클러스터 a → c,(24.94,0.55,-7.47)
56.70,알고리즘 사용됨: Predictive,(24.94,0.55,-7.47)
56.70,클러스터 c로 이동 시작,(24.94,0.55,-7.47)
62.18,클러스터 c 도착,(-18.50,-0.44,-16.76)
62.18,클러스터 c 수거 시작,(-18.50,-0.44,-16.76)
93.70,클러스터 c 수거 완료,(-42.44,0.57,-6.03)
93.70,[선택 이유: b] 거리: 46.8, 쓰레기 수: 600, 주변 클러스터: 0, 장애물 수: 5, 최종 점수: -1138.23,(-42.44,0.57,-6.03)
93.70,클러스터 c → b,(-42.44,0.57,-6.03)
93.70,알고리즘 사용됨: Predictive,(-42.44,0.57,-6.03)
93.70,클러스터 b로 이동 시작,(-42.44,0.57,-6.03)
98.90,클러스터 b 도착,(-23.71,-0.41,27.99)
98.90,클러스터 b 수거 시작,(-23.71,-0.41,27.99)
116.08,클러스터 b 수거 완료,(-7.52,0.90,34.48)
116.08,[선택 이유: e] 거리: 33.0, 쓰레기 수: 464, 주변 클러스터: 0, 장애물 수: 0, 최종 점수: -895.04,(-7.52,0.90,34.48)
116.08,클러스터 b → e,(-7.52,0.90,34.48)
116.08,알고리즘 사용됨: Predictive,(-7.52,0.90,34.48)
116.08,클러스터 e로 이동 시작,(-7.52,0.90,34.48)
120.32,클러스터 e 도착,(-36.11,-0.41,40.54)
120.32,클러스터 e 수거 시작,(-36.11,-0.41,40.54)
127.38,클러스터 e 수거 완료,(-36.91,-0.31,45.23)
127.38,[선택 이유: d] 거리: 77.1, 쓰레기 수: 200, 주변 클러스터: 0, 장애물 수: 5, 최종 점수: -307.91,(-36.91,-0.31,45.23)
127.38,클러스터 e → d,(-36.91,-0.31,45.23)
127.38,알고리즘 사용됨: Predictive,(-36.91,-0.31,45.23)
127.38,클러스터 d로 이동 시작,(-36.91,-0.31,45.23)
135.70,클러스터 d 도착,(32.11,-0.41,39.28)
135.70,클러스터 d 수거 시작,(32.11,-0.41,39.28)
152.36,클러스터 d 수거 완료,(45.77,-0.41,28.99)
152.36,모든 클러스터 수거 완료,(45.77,-0.41,28.99)
152.36,클러스터 a 수거율: 78.3%,(45.77,-0.41,28.99)
152.36,클러스터 b 수거율: 78.3%,(45.77,-0.41,28.99)
152.36,클러스터 c 수거율: 75.3%,(45.77,-0.41,28.99)
152.36,클러스터 d 수거율: 79.5%,(45.77,-0.41,28.99)
152.36,클러스터 e 수거율: 100.0%,(45.77,-0.41,28.99)
152.36,장애물 충돌 횟수: 0,(45.77,-0.41,28.99)
152.36,총 이동 거리: 1059.16m,(45.77,-0.41,28.99)
152.36,2분 이내 수거 비율: 64.8% (2438 / 3764),(45.77,-0.41,28.99)
168.47,시뮬레이션 강제 종료됨,(45.68,-0.51,28.73)
168.47,총 이동 거리: 1062.66m,(45.68,-0.51,28.73)
168.47,2분 이내 수거 비율: 64.8% (2438 / 3764),(45.68,-0.51,28.73)
168.47,장애물 충돌 횟수: 0,(45.68,-0.51,28.73)
