0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Score,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,[선택 이유: a] 거리: 40.2, 쓰레기 수: 1500, 장애물 수: 1, 주변 클러스터: 0, 최종 점수: -1781.92,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Score,(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
3.16,클러스터 a 도착,(9.64,-0.43,-0.05)
3.16,클러스터 a 수거 시작,(9.64,-0.43,-0.05)
22.82,장애물 트리거 충돌: Small_Rock_000_LOD0,(14.75,-0.78,30.54)
22.82,장애물 트리거 충돌: Small_Rock_000_LOD2,(14.75,-0.78,30.54)
22.82,장애물 트리거 충돌: Small_Rock_000(Clone),(14.75,-0.78,30.54)
22.82,장애물 트리거 충돌: Small_Rock_000_LOD1,(14.75,-0.78,30.54)
22.96,장애물 트리거 충돌: Small_Rock_000(Clone),(15.65,-0.50,30.05)
57.58,클러스터 a 수거 완료,(25.26,0.02,-7.24)
57.58,[선택 이유: c] 거리: 56.7, 쓰레기 수: 1000, 장애물 수: 1, 주변 클러스터: 0, 최종 점수: -1175.32,(25.26,0.02,-7.24)
57.58,클러스터 a → c,(25.26,0.02,-7.24)
57.58,알고리즘 사용됨: Score,(25.26,0.02,-7.24)
57.58,클러스터 c로 이동 시작,(25.26,0.02,-7.24)
63.12,클러스터 c 도착,(-18.49,-0.53,-16.73)
63.12,클러스터 c 수거 시작,(-18.49,-0.53,-16.73)
93.26,장애물 트리거 충돌: Small_Rock_000_LOD0,(-18.18,-0.79,-9.07)
93.26,장애물 트리거 충돌: Small_Rock_000(Clone),(-18.18,-0.79,-9.07)
93.26,장애물 트리거 충돌: Small_Rock_000_LOD1,(-18.18,-0.79,-9.07)
93.26,장애물 트리거 충돌: Small_Rock_000_LOD2,(-18.18,-0.79,-9.07)
458.10,시뮬레이션 강제 종료됨,(-18.60,-0.58,-9.18)
458.10,총 이동 거리: 1956.33m,(-18.60,-0.58,-9.18)
458.10,2분 이내 수거 비율: 54.4% (2050 / 3767),(-18.60,-0.58,-9.18)
458.10,장애물 충돌 횟수: 9,(-18.60,-0.58,-9.18)
