0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
67.08,장애물 감지됨: Small_Rock_001_LOD1, 위치: (-16.91, 0.00, 14.04),(-10.84,-0.36,12.64)
67.08,장애물 회피 방향 적용: (0.99, -0.06, -0.13),(-10.84,-0.36,12.64)
67.20,장애물 감지됨: Small_Rock_001(Clone), 위치: (-16.91, 0.00, 14.04),(-11.35,-0.44,12.70)
67.20,장애물 회피 방향 적용: (0.99, 0.00, -0.14),(-11.35,-0.44,12.70)
67.82,클러스터 b 도착,(-14.68,-0.42,13.64)
67.82,클러스터 b 수거 시작,(-14.68,-0.42,13.64)
70.04,장애물 감지됨: Small_Rock_002(Clone), 위치: (-25.58, 0.00, 11.84),(-21.58,-0.33,7.05)
70.04,장애물 회피 방향 적용: (0.60, -0.06, -0.80),(-21.58,-0.33,7.05)
70.06,장애물 감지됨: Small_Rock_002_LOD1, 위치: (-25.58, 0.00, 11.84),(-21.67,-0.33,7.09)
70.06,장애물 회피 방향 적용: (0.59, -0.07, -0.80),(-21.67,-0.33,7.09)
70.06,장애물 감지됨: Small_Rock_002_LOD2, 위치: (-25.58, 0.00, 11.84),(-21.67,-0.33,7.09)
70.06,장애물 회피 방향 적용: (0.59, -0.07, -0.80),(-21.67,-0.33,7.09)
70.06,장애물 감지됨: Small_Rock_002_LOD0, 위치: (-25.58, 0.00, 11.84),(-21.67,-0.33,7.09)
70.06,장애물 회피 방향 적용: (0.59, -0.07, -0.80),(-21.67,-0.33,7.09)
70.20,장애물 감지됨: Small_Rock_002(Clone), 위치: (-25.58, 0.00, 11.84),(-22.41,-0.38,7.30)
70.20,장애물 회피 방향 적용: (0.56, 0.00, -0.83),(-22.41,-0.38,7.30)
71.32,장애물 감지됨: buoy(Clone), 위치: (-29.03, -0.44, 13.96),(-29.67,-0.48,8.40)
71.32,장애물 회피 방향 적용: (-0.05, -0.08, -1.00),(-29.67,-0.48,8.40)
72.32,장애물 감지됨: Small_Rock_002(Clone), 위치: (-34.37, 0.00, 18.00),(-29.05,-0.31,13.92)
72.32,장애물 회피 방향 적용: (0.80, -0.06, -0.60),(-29.05,-0.31,13.92)
72.32,장애물 감지됨: Small_Rock_002_LOD1, 위치: (-34.37, 0.00, 18.00),(-29.05,-0.31,13.92)
72.32,장애물 회피 방향 적용: (0.80, -0.07, -0.60),(-29.05,-0.31,13.92)
72.32,장애물 감지됨: Small_Rock_002_LOD2, 위치: (-34.37, 0.00, 18.00),(-29.05,-0.31,13.92)
72.32,장애물 회피 방향 적용: (0.80, -0.07, -0.60),(-29.05,-0.31,13.92)
72.32,장애물 감지됨: Small_Rock_002_LOD0, 위치: (-34.37, 0.00, 18.00),(-29.05,-0.31,13.92)
72.32,장애물 회피 방향 적용: (0.80, -0.07, -0.60),(-29.05,-0.31,13.92)
78.94,장애물 감지됨: Small_Rock_000(Clone), 위치: (-16.93, 0.00, 23.75),(-13.87,-0.28,17.63)
78.94,장애물 회피 방향 적용: (0.40, -0.06, -0.91),(-13.87,-0.28,17.63)
78.94,장애물 감지됨: Small_Rock_000_LOD1, 위치: (-16.93, 0.00, 23.75),(-13.87,-0.28,17.63)
78.94,장애물 회피 방향 적용: (0.40, -0.05, -0.91),(-13.87,-0.28,17.63)
78.94,장애물 감지됨: Small_Rock_000_LOD0, 위치: (-16.93, 0.00, 23.75),(-13.87,-0.28,17.63)
78.94,장애물 회피 방향 적용: (0.40, -0.05, -0.91),(-13.87,-0.28,17.63)
78.94,장애물 감지됨: Small_Rock_000_LOD2, 위치: (-16.93, 0.00, 23.75),(-13.87,-0.28,17.63)
78.94,장애물 회피 방향 적용: (0.40, -0.05, -0.91),(-13.87,-0.28,17.63)
79.16,장애물 감지됨: Small_Rock_000(Clone), 위치: (-16.93, 0.00, 23.75),(-14.12,-0.42,18.67)
79.16,장애물 회피 방향 적용: (0.44, 0.00, -0.90),(-14.12,-0.42,18.67)
84.26,클러스터 b 수거 완료,(-12.28,-0.67,18.62)
84.26,알고리즘 사용됨: Score(AStar),(-12.28,-0.67,18.62)
84.26,클러스터 c로 이동 시작,(-12.28,-0.67,18.62)
86.60,클러스터 c 도착,(-9.75,-0.41,3.15)
86.60,클러스터 c 수거 시작,(-9.75,-0.41,3.15)
91.34,장애물 감지됨: Small_Rock_001(Clone), 위치: (-19.68, 0.00, -0.46),(-13.78,0.19,-2.28)
91.34,장애물 회피 방향 적용: (0.97, 0.05, -0.22),(-13.78,0.19,-2.28)
91.34,장애물 감지됨: Small_Rock_001_LOD2, 위치: (-19.68, 0.00, -0.46),(-13.78,0.19,-2.28)
91.34,장애물 회피 방향 적용: (0.97, 0.05, -0.22),(-13.78,0.19,-2.28)
91.34,장애물 감지됨: Small_Rock_001_LOD0, 위치: (-19.68, 0.00, -0.46),(-13.78,0.19,-2.28)
91.34,장애물 회피 방향 적용: (0.97, 0.05, -0.22),(-13.78,0.19,-2.28)
91.34,장애물 감지됨: Small_Rock_001_LOD1, 위치: (-19.68, 0.00, -0.46),(-13.78,0.19,-2.28)
91.34,장애물 회피 방향 적용: (0.97, 0.05, -0.22),(-13.78,0.19,-2.28)
92.26,클러스터 c 수거 완료,(-13.35,-0.32,2.91)
92.26,모든 클러스터 수거 완료,(-13.35,-0.32,2.91)
92.26,클러스터 a 수거율: 80.2%,(-13.35,-0.32,2.91)
92.26,클러스터 b 수거율: 90.8%,(-13.35,-0.32,2.91)
92.26,클러스터 c 수거율: 100.0%,(-13.35,-0.32,2.91)
92.26,장애물 충돌 횟수: 0,(-13.35,-0.32,2.91)
137.66,장애물 충돌 횟수: 0,(-12.87,-0.49,3.17)
