0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Fusion,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,[선택 이유: a] 거리: 40.2, 쓰레기 수: 1500, 최종 점수: -1479.90,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Fusion,(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
3.46,클러스터 a 도착,(11.37,-1.20,-0.51)
3.46,클러스터 a 수거 시작,(11.37,-1.20,-0.51)
80.70,시뮬레이션 강제 종료됨,(24.44,-1.76,31.34)
80.70,총 이동 거리: 225.56m,(24.44,-1.76,31.34)
80.70,2분 이내 수거 비율: 9.7% (367 / 3796),(24.44,-1.76,31.34)
80.70,장애물 충돌 횟수: 0,(24.44,-1.76,31.34)
