0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,[선택 이유: a] 거리: 51.9, 쓰레기 수: 1000, 주변 클러스터: 0, 장애물 수: 5, 최종 점수: -1933.15,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive,(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
5.56,클러스터 a 도착,(26.11,-0.41,13.06)
5.56,클러스터 a 수거 시작,(26.11,-0.41,13.06)
9.75,시뮬레이션 강제 종료됨,(29.37,-0.20,30.88)
9.75,총 이동 거리: 72.01m,(29.37,-0.20,30.88)
9.75,2분 이내 수거 비율: 7.4% (180 / 2419),(29.37,-0.20,30.88)
9.75,장애물 충돌 횟수: 0,(29.37,-0.20,30.88)
