0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive(AStar),(0.00,-0.73,-22.29)
0.00,클러스터 b로 이동 시작,(0.00,-0.73,-22.29)
58.70,장애물 회피 방향 적용: (-0.35, 0.11, 0.93),(46.24,0.47,10.70)
67.40,장애물 감지됨: Small_Rock_000_LOD2, 위치: (48.59, 0.00, 4.44),(42.32,-0.11,4.98)
67.40,장애물 회피 방향 적용: (-0.99, -0.01, -0.10),(42.32,-0.11,4.98)
67.48,장애물 감지됨: Small_Rock_000(Clone), 위치: (48.59, 0.00, 4.44),(42.95,-0.02,5.12)
67.48,장애물 회피 방향 적용: (-1.00, 0.00, 0.00),(42.95,-0.02,5.12)
72.54,클러스터 a 수거 완료,(17.94,-0.32,-1.35)
72.54,모든 클러스터 수거 완료,(17.94,-0.32,-1.35)
72.54,클러스터 a 수거율: 80.0%,(17.94,-0.32,-1.35)
72.54,클러스터 b 수거율: 92.3%,(17.94,-0.32,-1.35)
72.54,클러스터 c 수거율: 50.4%,(17.94,-0.32,-1.35)
72.54,장애물 충돌 횟수: 0,(17.94,-0.32,-1.35)
