0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive(AStar),(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
4.60,클러스터 a 도착,(22.04,-0.39,6.29)
4.60,클러스터 a 수거 시작,(22.04,-0.39,6.29)
25.00,장애물 트리거 충돌: Small_Rock_000_LOD2,(29.79,-1.20,22.78)
25.00,장애물 트리거 충돌: Small_Rock_000_LOD0,(29.79,-1.20,22.78)
25.00,장애물 트리거 충돌: Small_Rock_000_LOD1,(29.79,-1.20,22.78)
25.00,장애물 트리거 충돌: Small_Rock_000(Clone),(29.79,-1.20,22.78)
25.14,장애물 트리거 충돌: Small_Rock_000(Clone),(29.40,-1.07,22.07)
48.60,장애물 트리거 충돌: buoy(Clone),(29.09,0.27,-0.39)
51.94,장애물 충돌 횟수: 6,(29.63,0.02,-0.19)
