0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
68.96,장애물 감지됨: Small_Rock_000_LOD2, 위치: (-32.12, 0.00, 6.44),(-26.48,-0.19,10.45)
68.96,장애물 회피 방향 적용: (0.84, -0.07, 0.53),(-26.48,-0.19,10.45)
76.14,클러스터 b 수거 완료,(-12.89,-0.14,19.69)
76.14,알고리즘 사용됨: Score(AStar),(-12.89,-0.14,19.69)
76.14,클러스터 c로 이동 시작,(-12.89,-0.14,19.69)
78.52,클러스터 c 도착,(-10.09,-0.42,3.09)
78.52,클러스터 c 수거 시작,(-10.09,-0.42,3.09)
84.34,장애물 감지됨: Small_Rock_000(Clone), 위치: (-18.07, 0.00, 1.37),(-12.70,-0.35,3.45)
84.34,장애물 회피 방향 적용: (0.96, 0.00, 0.29),(-12.70,-0.35,3.45)
84.38,클러스터 c 수거 완료,(-12.88,-0.34,3.45)
84.38,모든 클러스터 수거 완료,(-12.88,-0.34,3.45)
84.38,클러스터 a 수거율: 74.8%,(-12.88,-0.34,3.45)
84.38,클러스터 b 수거율: 96.4%,(-12.88,-0.34,3.45)
84.38,클러스터 c 수거율: 100.0%,(-12.88,-0.34,3.45)
84.38,장애물 충돌 횟수: 0,(-12.88,-0.34,3.45)
89.29,장애물 충돌 횟수: 0,(-12.72,-0.42,3.74)
