block_id,lat,lon,dist_units,mean_wind_speed,mean_wave_height
1,35.0342,129.0984,0.6115703160282382,6.4625,0.5625
2,35.0283,129.2782,2.7200839600182505,8.375,1.3875000000000002
3,35.0213,129.431,2.579744257156012,7.9375,1.625
4,35.0295,129.6165,1.8927503450485672,6.1125,1.725
5,34.8763,129.077,2.4795513602210724,7.6875,1.25
6,34.8856,129.2549,2.4359999999999995,7.6875,1.525
7,34.8751,129.4153,2.1791723628115016,6.9375,1.5875
8,34.8798,129.578,1.6245335201913442,5.35,1.6375
