order,grid_x,grid_y,x_km,y_km,segment_dist_km,cum_dist_km,eta_hour_from_start
30,21,33,-7.267653361642494,-5.1927003976388075,0.2708383553833702,11.626690964285517,1.0463184813071922
31,21,32,-7.267653361642494,-5.56983039227363,0.37712999463482255,12.00382095892034,1.0802574657055743
32,22,33,-6.996815006259124,-5.1927003976388075,0.4643064156352247,12.468127374555564,1.122041700373971
33,23,33,-6.7259766508757535,-5.1927003976388075,0.2708383553833702,12.738965729938935,1.146415202478306
34,22,32,-6.996815006259124,-5.56983039227363,0.4643064156352247,13.203272145574159,1.1881994371467028
35,22,31,-6.996815006259124,-5.946960386908451,0.3771299946348208,13.58040214020898,1.2221384215450848
36,23,30,-6.7259766508757535,-6.324090381543273,0.4643064156352247,14.044708555844204,1.2639226562134815
37,24,30,-6.455138295492384,-6.324090381543273,0.2708383553833693,14.315546911227575,1.2882961583178165
38,24,31,-6.455138295492384,-5.946960386908451,0.37712999463482255,14.692676905862397,1.3222351427161987
39,24,32,-6.455138295492384,-5.56983039227363,0.3771299946348208,15.069806900497218,1.3561741271145806
40,24,33,-6.455138295492384,-5.1927003976388075,0.37712999463482255,15.44693689513204,1.3901131115129628
41,23,34,-6.7259766508757535,-4.815570403003987,0.46430641563522274,15.911243310767263,1.4318973461813593
42,22,34,-6.996815006259124,-4.815570403003987,0.2708383553833702,16.182081666150633,1.4562708482856943
43,21,35,-7.267653361642494,-4.438440408369164,0.4643064156352247,16.646388081785858,1.498055082954091
44,20,34,-7.538491717025864,-4.815570403003987,0.4643064156352247,17.110694497421083,1.5398393176224878
45,19,34,-7.809330072409234,-4.815570403003987,0.2708383553833702,17.381532852804455,1.5642128197268228
46,19,33,-7.809330072409234,-5.1927003976388075,0.3771299946348208,17.758662847439275,1.5981518041252047
47,19,32,-7.809330072409234,-5.56983039227363,0.37712999463482255,18.135792842074096,1.632090788523587
48,19,31,-7.809330072409234,-5.946960386908451,0.3771299946348208,18.512922836708917,1.6660297729219689
49,19,30,-7.809330072409234,-6.324090381543273,0.37712999463482255,18.890052831343738,1.699968757320351
50,19,29,-7.809330072409234,-6.701220376178094,0.3771299946348208,19.26718282597856,1.733907741718733
51,20,29,-7.538491717025864,-6.701220376178094,0.2708383553833702,19.538021181361927,1.758281243823068
52,21,29,-7.267653361642494,-6.701220376178094,0.2708383553833702,19.808859536745295,1.782654745927403
53,22,29,-6.996815006259124,-6.701220376178094,0.2708383553833702,20.079697892128664,1.807028248031738
54,23,29,-6.7259766508757535,-6.701220376178094,0.2708383553833702,20.350536247512032,1.8314017501360729
55,24,29,-6.455138295492384,-6.701220376178094,0.2708383553833693,20.6213746028954,1.8557752522404078
56,25,29,-6.184299940109014,-6.701220376178094,0.2708383553833702,20.89221295827877,1.8801487543447428
57,25,30,-6.184299940109014,-6.324090381543273,0.3771299946348208,21.26934295291359,1.9140877387431248
58,25,31,-6.184299940109014,-5.946960386908451,0.37712999463482255,21.64647294754841,1.948026723141507
59,24,32,-6.455138295492384,-5.56983039227363,0.46430641563522324,22.110779363183635,1.9898109578099035
60,24,33,-6.455138295492384,-5.1927003976388075,0.37712999463482255,22.48790935781846,2.0237499422082856
61,24,34,-6.455138295492384,-4.815570403003987,0.3771299946348208,22.86503935245328,2.0576889266066676
62,23,35,-6.7259766508757535,-4.438440408369164,0.4643064156352242,23.329345768088505,2.099473161275064
63,22,35,-6.996815006259124,-4.438440408369164,0.2708383553833702,23.600184123471877,2.123846663379399
64,21,34,-7.267653361642494,-4.815570403003987,0.4643064156352247,24.0644905391071,2.1656308980477954
65,20,35,-7.538491717025864,-4.438440408369164,0.4643064156352247,24.528796954742326,2.207415132716192
66,19,34,-7.809330072409234,-4.815570403003987,0.4643064156352247,24.99310337037755,2.2491993673845885
67,20,33,-7.538491717025864,-5.1927003976388075,0.46430641563522324,25.457409786012775,2.290983602052985
68,20,32,-7.538491717025864,-5.56983039227363,0.37712999463482255,25.834539780647596,2.324922586451367
69,20,31,-7.538491717025864,-5.946960386908451,0.3771299946348208,26.211669775282417,2.358861570849749
70,20,30,-7.538491717025864,-6.324090381543273,0.37712999463482255,26.588799769917237,2.392800555248131
71,21,31,-7.267653361642494,-5.946960386908451,0.4643064156352247,27.053106185552462,2.4345847899165274
72,22,32,-6.996815006259124,-5.56983039227363,0.46430641563522324,27.517412601187687,2.476369024584924
73,23,33,-6.7259766508757535,-5.1927003976388075,0.4643064156352247,27.98171901682291,2.5181532592533205
74,24,34,-6.455138295492384,-4.815570403003987,0.46430641563522274,28.446025432458132,2.559937493921717
75,25,34,-6.184299940109014,-4.815570403003987,0.2708383553833702,28.716863787841504,2.5843109960260517
76,26,35,-5.913461584725644,-4.438440408369164,0.4643064156352247,29.18117020347673,2.6260952306944483
77,27,36,-5.642623229342274,-4.061310413734343,0.46430641563522324,29.645476619111953,2.667879465362845
78,28,37,-5.371784873958903,-3.6841804190995227,0.46430641563522324,30.109783034747178,2.7096637000312414
79,28,38,-5.371784873958903,-3.3070504244647,0.37712999463482255,30.486913029382002,2.7436026844296233
80,28,39,-5.371784873958903,-2.9299204298298793,0.3771299946348208,30.864043024016823,2.7775416688280052
81,28,40,-5.371784873958903,-2.5527904351950568,0.37712999463482255,31.241173018651644,2.811480653226387
82,28,41,-5.371784873958903,-2.175660440560236,0.3771299946348208,31.618303013286464,2.845419637624769
83,28,42,-5.371784873958903,-1.7985304459254152,0.3771299946348208,31.995433007921285,2.879358622023151
84,29,42,-5.100946518575534,-1.7985304459254152,0.2708383553833693,32.266271363304654,2.903732124127486
85,30,42,-4.830108163192163,-1.7985304459254152,0.2708383553833711,32.53710971868802,2.928105626231821
86,30,43,-4.830108163192163,-1.421400451290591,0.37712999463482433,32.91423971332284,2.9620446106302034
87,31,43,-4.559269807808793,-1.421400451290591,0.2708383553833702,33.18507806870621,2.986418112734538
88,31,44,-4.559269807808793,-1.0442704566557701,0.3771299946348208,33.56220806334103,3.02035709713292
89,31,45,-4.559269807808793,-0.6671404620209493,0.3771299946348208,33.93933805797585,3.054296081531302
90,32,45,-4.288431452425424,-0.6671404620209493,0.2708383553833684,34.21017641335922,3.078669583635637
91,32,44,-4.288431452425424,-1.0442704566557701,0.3771299946348208,34.58730640799404,3.1126085680340188
92,32,43,-4.288431452425424,-1.421400451290591,0.3771299946348208,34.96443640262886,3.1465475524324007
93,32,42,-4.288431452425424,-1.7985304459254152,0.37712999463482433,35.34156639726369,3.180486536830783
94,31,42,-4.559269807808793,-1.7985304459254152,0.2708383553833684,35.61240475264706,3.204860038935118
95,30,43,-4.830108163192163,-1.421400451290591,0.4643064156352261,36.07671116828229,3.246644273603515
96,29,44,-5.100946518575534,-1.0442704566557701,0.4643064156352238,36.54101758391751,3.2884285082719114
97,30,44,-4.830108163192163,-1.0442704566557701,0.2708383553833711,36.81185593930088,3.3128020103762466
98,29,45,-5.100946518575534,-0.6671404620209493,0.4643064156352238,37.2761623549361,3.354586245044643
99,30,45,-4.830108163192163,-0.6671404620209493,0.2708383553833711,37.547000710319466,3.3789597471489783
100,29,44,-5.100946518575534,-1.0442704566557701,0.4643064156352238,38.01130712595469,3.420743981817375
101,28,43,-5.371784873958903,-1.421400451290591,0.46430641563522274,38.47561354158991,3.4625282164857714
102,28,44,-5.371784873958903,-1.0442704566557701,0.3771299946348208,38.85274353622473,3.4964672008841533
103,29,45,-5.100946518575534,-0.6671404620209493,0.46430641563522274,39.31704995185995,3.53825143555255
104,30,46,-4.830108163192163,-0.29001046738612857,0.4643064156352238,39.78135636749517,3.5800356702209464
105,31,46,-4.559269807808793,-0.29001046738612857,0.2708383553833702,40.05219472287854,3.604409172325281
106,32,46,-4.288431452425424,-0.29001046738612857,0.2708383553833684,40.32303307826191,3.628782674429616
107,33,45,-4.017593097042054,-0.6671404620209493,0.46430641563522324,40.78733949389713,3.6705669090980124
108,33,44,-4.017593097042054,-1.0442704566557701,0.3771299946348208,41.16446948853195,3.7045058934963944
109,33,43,-4.017593097042054,-1.421400451290591,0.3771299946348208,41.54159948316677,3.7384448778947763
110,33,42,-4.017593097042054,-1.7985304459254152,0.37712999463482433,41.91872947780159,3.7723838622931587
111,33,41,-4.017593097042054,-2.175660440560236,0.3771299946348208,42.29585947243641,3.8063228466915406
112,33,40,-4.017593097042054,-2.5527904351950568,0.3771299946348208,42.67298946707123,3.8402618310899226
113,32,40,-4.288431452425424,-2.5527904351950568,0.2708383553833702,42.9438278224546,3.8646353331942573
114,31,41,-4.559269807808793,-2.175660440560236,0.46430641563522224,43.40813423808982,3.906419567862654
115,30,40,-4.830108163192163,-2.5527904351950568,0.46430641563522324,43.87244065372504,3.9482038025310504
