collection_rate,collected_count,total_trash,collision_count,search_distance,actual_distance_m,actual_distance_km,travel_time_min,collection_time_min,total_operation_time_min,total_operation_time_h,elapsed_time
0.9133858267716536,116,127,0,380,43740.41122946064,43.74041122946064,291.6027415297376,58.0,349.6027415297376,5.82671235882896,0.019085407257080078
0.9495798319327731,113,119,0,345,40944.574285494855,40.94457428549485,272.9638285699657,56.5,329.4638285699657,5.491063809499428,0.0076160430908203125
0.9054054054054054,134,148,0,359,42427.41699796952,42.42741699796952,282.84944665313014,67.0,349.84944665313014,5.830824110885502,0.007009983062744141
0.8648648648648649,128,148,0,371,43213.203435596406,43.213203435596405,288.088022903976,64.0,352.088022903976,5.868133715066267,0.006885051727294922
0.8974358974358975,140,156,0,381,44254.62479183373,44.254624791833734,295.0308319455582,70.0,365.0308319455582,6.083847199092637,0.007997274398803711
0.7758620689655172,90,116,0,198,23386.500705120503,23.386500705120504,155.91000470080334,45.0,200.91000470080334,3.3485000783467225,0.0039997100830078125
0.88,110,125,0,333,38543.354954612885,38.54335495461289,256.9556996974192,55.0,311.9556996974192,5.199261661623654,0.005999088287353516
0.94,141,150,0,421,49207.31598529189,49.20731598529189,328.04877323527927,70.5,398.54877323527927,6.642479553921321,0.010005474090576172
0.9349593495934959,115,123,0,374,42643.3549546129,42.6433549546129,284.28903303075265,57.5,341.78903303075265,5.696483883845877,0.009001016616821289
0.8130841121495327,87,107,0,263,30590.663761154752,30.59066376115475,203.93775840769834,43.5,247.43775840769834,4.123962640128306,0.007021665573120117
0.9054054054054054,134,148,0,366,42423.25394193526,42.423253941935265,282.8216929462351,67.0,349.8216929462351,5.830361549103918,0.009000301361083984
0.8468468468468469,94,111,0,362,42064.675298172544,42.064675298172546,280.4311686544836,47.0,327.4311686544836,5.457186144241393,0.0074765682220458984
0.6776315789473685,103,152,0,246,28766.399692442817,28.766399692442818,191.77599794961878,51.5,243.27599794961878,4.05459996582698,0.004998207092285156
0.8345864661654135,111,133,0,307,35570.562748477074,35.57056274847707,237.13708498984715,55.5,292.6370849898472,4.877284749830786,0.006006002426147461
0.8258064516129032,128,155,0,349,40267.61902332482,40.26761902332482,268.4507934888321,64.0,332.4507934888322,5.540846558147202,0.008998870849609375
0.6690647482014388,93,139,0,228,26676.450198781677,26.676450198781676,177.8430013252112,46.5,224.3430013252112,3.739050022086853,0.005995273590087891
0.8391608391608392,120,143,0,341,39923.253941935225,39.92325394193522,266.1550262795682,60.0,326.1550262795682,5.435917104659469,0.007704257965087891
